iter	Passed	Remaining
0	10	2336
1	18	2052
2	27	1997
3	34	1896
4	43	1879
5	51	1856
6	62	1912
7	70	1878
8	78	1845
9	85	1812
10	93	1791
11	100	1751
12	108	1731
13	117	1731
14	125	1729
15	134	1728
16	144	1735
17	151	1710
18	158	1689
19	166	1672
20	175	1672
21	182	1655
22	190	1641
23	197	1621
24	206	1615
25	213	1601
26	220	1584
27	231	1594
28	242	1603
29	250	1597
30	259	1588
31	267	1581
32	275	1571
33	283	1561
34	292	1554
35	300	1544
36	307	1531
37	314	1515
38	322	1506
39	330	1496
40	337	1483
41	347	1479
42	355	1469
43	362	1459
44	370	1449
45	378	1440
46	387	1435
47	396	1430
48	405	1422
49	412	1409
50	419	1399
51	427	1390
52	435	1381
53	443	1371
54	449	1356
55	457	1349
56	465	1340
57	474	1333
58	481	1320
59	487	1307
60	494	1296
61	503	1290
62	510	1280
63	518	1271
64	525	1261
65	534	1254
66	543	1249
67	553	1244
68	562	1239
69	572	1235
70	577	1219
71	585	1212
72	593	1203
73	603	1197
74	611	1189
75	620	1183
76	628	1176
77	638	1169
78	646	1161
79	654	1154
80	663	1146
81	669	1135
82	674	1122
83	684	1116
84	693	1109
85	702	1102
86	709	1093
87	718	1086
88	727	1078
89	735	1070
90	743	1062
91	753	1056
92	763	1050
93	772	1043
94	782	1038
95	791	1030
96	800	1023
97	811	1018
98	824	1016
99	835	1011
100	845	1004
101	854	996
102	864	990
103	873	982
104	882	974
105	891	967
106	903	963
107	912	954
108	921	946
109	931	940
110	940	932
111	947	922
112	956	914
113	968	909
114	979	902
115	989	895
116	997	887
117	1007	879
118	1019	873
119	1031	868
120	1038	858
121	1047	850
122	1058	843
123	1065	833
124	1073	824
125	1082	816
126	1091	807
127	1100	799
128	1108	790
129	1117	782
130	1126	773
131	1135	765
132	1144	756
133	1152	748
134	1163	741
135	1172	732
136	1183	725
137	1193	717
138	1202	709
139	1210	700
140	1219	691
141	1228	683
142	1238	675
143	1247	667
144	1257	659
145	1266	650
146	1275	642
147	1288	635
148	1302	629
149	1313	621
150	1325	614
151	1337	606
152	1348	599
153	1357	590
154	1367	582
155	1378	574
156	1387	565
157	1397	557
158	1405	548
159	1416	540
160	1427	531
161	1435	522
162	1445	514
163	1453	505
164	1465	497
165	1476	489
166	1504	486
167	1514	477
168	1525	469
169	1533	459
170	1541	450
171	1548	441
172	1556	431
173	1564	422
174	1571	413
175	1581	404
176	1591	395
177	1598	386
178	1607	377
179	1614	367
180	1622	358
181	1630	349
182	1645	341
183	1653	332
184	1661	323
185	1669	314
186	1677	305
187	1687	296
188	1697	287
189	1705	278
190	1712	269
191	1721	259
192	1729	250
193	1736	241
194	1744	232
195	1752	223
196	1760	214
197	1767	205
198	1773	196
199	1780	186
200	1788	177
201	1796	168
202	1804	159
203	1812	151
204	1820	142
205	1830	133
206	1838	124
207	1845	115
208	1854	106
209	1866	97
210	1874	88
211	1883	79
212	1894	71
213	1902	62
214	1911	53
215	1921	44
216	1931	35
217	1941	26
218	1949	17
219	1956	8
220	1968	0
